review,category,rating,tag
সেলারকে যখনই এসএমএস দিয়েছি সাথে সাথে রেসপন্স করেছে  এবং সঠিক পণ্যটি দিয়েছে ধন্যবাদ সেলারকে❤️এভাবে যদি সকল সেলার সঠিক প্রোডাক্ট দিত তাহলে দারাজ অনেকে এগিয়ে যেত আবারো ধন্যবাদ সেলারকে।,Electronics,5,positive 
পন্যের মান দাম হিসেবে বেশ ভালো। সাধারণত দাম ১ টা ৩০০ টাকার মতো৷ কিন্তু দারাজ ভাওচার ব্যবহার করে৷ ২ টা ৩০০ টাকায় পেয়ে গিয়েছি৷ যা বেশ কমমূল্য তেই পেয়েছি বলা যায়।,Cloth,5,positive 
"বিসমিল্লাহির রাহমানির রাহিম দারাজ ভাইকে ধন্যবাদ মালটা ঠিক মতন ডেলিভারি পেয়েছি ম্যান কে ধন্যবাদ যথাযথ মালডা দেওয়ার জন্য
মালটা অনেক ভালো মানের মাল আপনারা নিতে পারেন",Cloth,5,positive 
কাপরের মান মোটামুটি সেলাইয়েরও তেমন ফিনিশিং  নাই আর কাপরের মান অনুযায়ী দাম টা একটু বেশি মনে হচ্ছে,Cloth,3,neutral
ধন্যবাদ সেলার কে ঠিক যেমনটি চেয়েছিলাম তেমনটি পেয়েছি। কেউ চাইলে নিতে পারেন,Cloth,5,positive 
ভাল মানের এবং ভাল প্যাকিং। আমি এই দামে সন্তুষ্ট 306 টাকা। 50% ডিসকাউন্ট ভাউচার এবং 50% ফ্রি ডেলিভারি ভাউচার ব্যবহার করা হয়েছে।,Cloth,4,positive 
"প্রথমে ধন্যবাদ জানাই সেলার ভাইকে এতো সুন্দর একটা প্রোডাক্ট দেয়ার জন্য।
একদম যেমনটা চেয়েছিলাম তেমন টাই পেয়েছি।
কাপরের মান অনেক ভালো ছিলো
আর ধন্যবাদ জানাই রাইডার ভাইকে ",Cloth,5,positive 
কোয়ালিটি মোটামুটি ভালো। আপনারা চাইলে নিতে পারেন। তবে ডেলিভারি চার্জ টা একটু বেশি হয়ে যায়.? ফ্রি ডেলিভারি দিয়ে রাখলে ভালো হতো সবার জন্য,Cloth,4,positive 
"অসাধারণ 🤩 এই প্রজাজ এ বেষ্ট টি-শার্ট 
ধন্যবাদ বিক্রেতা ভাই কে। ১০০ % বিশ্বস্ত",Cloth,5,positive 
"খুবই সুন্দর একটি প্রোডাক্ট,আমি এই প্রথম দারাজের কোন প্রোডাক্ট এতো ভালো পেলাম।যেমনটা পিকচারে ছিল ঠিক তেমনই প্রোডাক্ট।নিঃসন্দেহে কাপড়ের গুনগত মানই চাহিদা অনুযায়ী ছিল।সেলারকে অসংখ্য ধন্যবাদ যা ডিসপ্লে করেছে তাই গ্রাহক পর্যায়ে দেওয়ার জন্যে।ব্যবসাটা সততার সহিত করলে কাস্টমারে অভাব হবে না।ধন্যবাদ দারাজকে এতো খারাপের ভীড়ে ভালোমানুষদেরও সুযোগ দেওয়ার জন্যে।আর ডেলিভারিতো সুপারম্যান🤩🤩দুইদিনের মধ্যে ঢাকার বাহিরে প্রোডাক্ট ভোক্তার হাতে পৌঁছানোর জন্যে।",Cloth,5,positive 
